struct,time,k,N,dim
dumbKNN,367,2,100,1
dumbKNN,662,4,100,1
dumbKNN,1122,8,100,1
dumbKNN,1615,16,100,1
dumbKNN,2152,32,100,1
dumbKNN,2722,64,100,1
dumbKNN,2091,2,1000,1
dumbKNN,4159,4,1000,1
dumbKNN,6377,8,1000,1
dumbKNN,9116,16,1000,1
dumbKNN,12265,32,1000,1
dumbKNN,16080,64,1000,1
dumbKNN,18395,2,10000,1
dumbKNN,36387,4,10000,1
dumbKNN,54534,8,10000,1
dumbKNN,74737,16,10000,1
dumbKNN,95187,32,10000,1
dumbKNN,116310,64,10000,1
dumbKNN,171252,2,100000,1
dumbKNN,343244,4,100000,1
dumbKNN,515572,8,100000,1
dumbKNN,702142,16,100000,1
dumbKNN,884975,32,100000,1
dumbKNN,1073056,64,100000,1
dumbKNN,436,2,100,2
dumbKNN,922,4,100,2
dumbKNN,1398,8,100,2
dumbKNN,1970,16,100,2
dumbKNN,2642,32,100,2
dumbKNN,3344,64,100,2
dumbKNN,3288,2,1000,2
dumbKNN,6063,4,1000,2
dumbKNN,8966,8,1000,2
dumbKNN,12337,16,1000,2
dumbKNN,16010,32,1000,2
dumbKNN,20191,64,1000,2
dumbKNN,24637,2,10000,2
dumbKNN,49909,4,10000,2
dumbKNN,75389,8,10000,2
dumbKNN,102058,16,10000,2
dumbKNN,130468,32,10000,2
dumbKNN,159589,64,10000,2
dumbKNN,241569,2,100000,2
dumbKNN,484286,4,100000,2
dumbKNN,726244,8,100000,2
dumbKNN,976925,16,100000,2
dumbKNN,1231436,32,100000,2
dumbKNN,1486482,64,100000,2
dumbKNN,463,2,100,3
dumbKNN,938,4,100,3
dumbKNN,1497,8,100,3
dumbKNN,2207,16,100,3
dumbKNN,3330,32,100,3
dumbKNN,4174,64,100,3
dumbKNN,3199,2,1000,3
dumbKNN,6443,4,1000,3
dumbKNN,10028,8,1000,3
dumbKNN,14200,16,1000,3
dumbKNN,18968,32,1000,3
dumbKNN,23897,64,1000,3
dumbKNN,29719,2,10000,3
dumbKNN,58900,4,10000,3
dumbKNN,87820,8,10000,3
dumbKNN,121179,16,10000,3
dumbKNN,153400,32,10000,3
dumbKNN,187408,64,10000,3
dumbKNN,281427,2,100000,3
dumbKNN,562918,4,100000,3
dumbKNN,845209,8,100000,3
dumbKNN,1137955,16,100000,3
dumbKNN,1432897,32,100000,3
dumbKNN,1730501,64,100000,3
dumbKNN,551,2,100,4
dumbKNN,1186,4,100,4
dumbKNN,1853,8,100,4
dumbKNN,2633,16,100,4
dumbKNN,3523,32,100,4
dumbKNN,4478,64,100,4
dumbKNN,3841,2,1000,4
dumbKNN,7824,4,1000,4
dumbKNN,11910,8,1000,4
dumbKNN,16643,16,1000,4
dumbKNN,21827,32,1000,4
dumbKNN,27485,64,1000,4
dumbKNN,35287,2,10000,4
dumbKNN,71182,4,10000,4
dumbKNN,108875,8,10000,4
dumbKNN,149591,16,10000,4
dumbKNN,188678,32,10000,4
dumbKNN,228992,64,10000,4
dumbKNN,343008,2,100000,4
dumbKNN,693225,4,100000,4
dumbKNN,1038411,8,100000,4
dumbKNN,1399301,16,100000,4
dumbKNN,1758909,32,100000,4
dumbKNN,2122983,64,100000,4
dumbKNN,645,2,100,5
dumbKNN,1247,4,100,5
dumbKNN,1987,8,100,5
dumbKNN,2854,16,100,5
dumbKNN,3858,32,100,5
dumbKNN,5054,64,100,5
dumbKNN,4353,2,1000,5
dumbKNN,8729,4,1000,5
dumbKNN,13299,8,1000,5
dumbKNN,18489,16,1000,5
dumbKNN,24038,32,1000,5
dumbKNN,30384,64,1000,5
dumbKNN,38496,2,10000,5
dumbKNN,77534,4,10000,5
dumbKNN,116964,8,10000,5
dumbKNN,158289,16,10000,5
dumbKNN,200397,32,10000,5
dumbKNN,244098,64,10000,5
dumbKNN,377608,2,100000,5
dumbKNN,759427,4,100000,5
dumbKNN,1140415,8,100000,5
dumbKNN,1530723,16,100000,5
dumbKNN,1924376,32,100000,5
dumbKNN,2323723,64,100000,5
dumbKNN,694,2,100,6
dumbKNN,1401,4,100,6
dumbKNN,2140,8,100,6
dumbKNN,3009,16,100,6
dumbKNN,4202,32,100,6
dumbKNN,5422,64,100,6
dumbKNN,4724,2,1000,6
dumbKNN,9615,4,1000,6
dumbKNN,14482,8,1000,6
dumbKNN,19856,16,1000,6
dumbKNN,25545,32,1000,6
dumbKNN,32035,64,1000,6
dumbKNN,41406,2,10000,6
dumbKNN,83240,4,10000,6
dumbKNN,125231,8,10000,6
dumbKNN,168884,16,10000,6
dumbKNN,214097,32,10000,6
dumbKNN,260209,64,10000,6
dumbKNN,406071,2,100000,6
dumbKNN,810352,4,100000,6
dumbKNN,1215108,8,100000,6
dumbKNN,1640109,16,100000,6
dumbKNN,2069356,32,100000,6
dumbKNN,2500852,64,100000,6
dumbKNN,801,2,100,7
dumbKNN,1527,4,100,7
dumbKNN,2413,8,100,7
dumbKNN,3499,16,100,7
dumbKNN,4833,32,100,7
dumbKNN,6070,64,100,7
dumbKNN,5534,2,1000,7
dumbKNN,11457,4,1000,7
dumbKNN,17062,8,1000,7
dumbKNN,23386,16,1000,7
dumbKNN,32771,32,1000,7
dumbKNN,40500,64,1000,7
dumbKNN,54898,2,10000,7
dumbKNN,106212,4,10000,7
dumbKNN,156294,8,10000,7
dumbKNN,209128,16,10000,7
dumbKNN,262755,32,10000,7
dumbKNN,318137,64,10000,7
dumbKNN,494867,2,100000,7
dumbKNN,990686,4,100000,7
dumbKNN,1488271,8,100000,7
dumbKNN,1989591,16,100000,7
dumbKNN,2491886,32,100000,7
dumbKNN,2998537,64,100000,7
bucketKNN,4121,2,100,1
bucketKNN,8449,4,100,1
bucketKNN,12580,8,100,1
bucketKNN,16865,16,100,1
bucketKNN,21212,32,100,1
bucketKNN,25446,64,100,1
bucketKNN,6799,2,1000,1
bucketKNN,14021,4,1000,1
bucketKNN,20903,8,1000,1
bucketKNN,28114,16,1000,1
bucketKNN,34985,32,1000,1
bucketKNN,42081,64,1000,1
bucketKNN,6673,2,10000,1
bucketKNN,13544,4,10000,1
bucketKNN,20298,8,10000,1
bucketKNN,27203,16,10000,1
bucketKNN,34393,32,10000,1
bucketKNN,41137,64,10000,1
bucketKNN,6633,2,100000,1
bucketKNN,13185,4,100000,1
bucketKNN,19898,8,100000,1
bucketKNN,26385,16,100000,1
bucketKNN,32939,32,100000,1
bucketKNN,39746,64,100000,1
bucketKNN,5435,2,100,2
bucketKNN,10780,4,100,2
bucketKNN,16136,8,100,2
bucketKNN,21303,16,100,2
bucketKNN,26760,32,100,2
bucketKNN,32097,64,100,2
bucketKNN,13262,2,1000,2
bucketKNN,26257,4,1000,2
bucketKNN,39156,8,1000,2
bucketKNN,52450,16,1000,2
bucketKNN,65425,32,1000,2
bucketKNN,78447,64,1000,2
bucketKNN,10720,2,10000,2
bucketKNN,21544,4,10000,2
bucketKNN,32701,8,10000,2
bucketKNN,43361,16,10000,2
bucketKNN,54367,32,10000,2
bucketKNN,65349,64,10000,2
bucketKNN,11058,2,100000,2
bucketKNN,22132,4,100000,2
bucketKNN,33013,8,100000,2
bucketKNN,44335,16,100000,2
bucketKNN,55632,32,100000,2
bucketKNN,66690,64,100000,2
bucketKNN,3797,2,100,3
bucketKNN,7513,4,100,3
bucketKNN,11295,8,100,3
bucketKNN,15080,16,100,3
bucketKNN,18914,32,100,3
bucketKNN,22931,64,100,3
bucketKNN,12916,2,1000,3
bucketKNN,25634,4,1000,3
bucketKNN,38758,8,1000,3
bucketKNN,51593,16,1000,3
bucketKNN,64670,32,1000,3
bucketKNN,77382,64,1000,3
bucketKNN,13032,2,10000,3
bucketKNN,25821,4,10000,3
bucketKNN,39302,8,10000,3
bucketKNN,52517,16,10000,3
bucketKNN,66535,32,10000,3
bucketKNN,79646,64,10000,3
bucketKNN,15655,2,100000,3
bucketKNN,30746,4,100000,3
bucketKNN,45361,8,100000,3
bucketKNN,59945,16,100000,3
bucketKNN,74632,32,100000,3
bucketKNN,89268,64,100000,3
bucketKNN,3333,2,100,4
bucketKNN,6589,4,100,4
bucketKNN,9957,8,100,4
bucketKNN,13157,16,100,4
bucketKNN,16330,32,100,4
bucketKNN,19804,64,100,4
bucketKNN,40699,2,1000,4
bucketKNN,81118,4,1000,4
bucketKNN,122341,8,1000,4
bucketKNN,163174,16,1000,4
bucketKNN,204589,32,1000,4
bucketKNN,245573,64,1000,4
bucketKNN,23890,2,10000,4
bucketKNN,47587,4,10000,4
bucketKNN,71076,8,10000,4
bucketKNN,94351,16,10000,4
bucketKNN,117584,32,10000,4
bucketKNN,141517,64,10000,4
bucketKNN,20046,2,100000,4
bucketKNN,40343,4,100000,4
bucketKNN,60279,8,100000,4
bucketKNN,81141,16,100000,4
bucketKNN,101467,32,100000,4
bucketKNN,121659,64,100000,4
bucketKNN,2744,2,100,5
bucketKNN,5456,4,100,5
bucketKNN,8241,8,100,5
bucketKNN,11142,16,100,5
bucketKNN,13843,32,100,5
bucketKNN,17326,64,100,5
bucketKNN,34027,2,1000,5
bucketKNN,68298,4,1000,5
bucketKNN,103109,8,1000,5
bucketKNN,137923,16,1000,5
bucketKNN,171958,32,1000,5
bucketKNN,206162,64,1000,5
bucketKNN,50702,2,10000,5
bucketKNN,101583,4,10000,5
bucketKNN,152592,8,10000,5
bucketKNN,203208,16,10000,5
bucketKNN,253876,32,10000,5
bucketKNN,304841,64,10000,5
bucketKNN,31734,2,100000,5
bucketKNN,63667,4,100000,5
bucketKNN,95664,8,100000,5
bucketKNN,127448,16,100000,5
bucketKNN,159628,32,100000,5
bucketKNN,191695,64,100000,5
bucketKNN,2250,2,100,6
bucketKNN,4445,4,100,6
bucketKNN,6797,8,100,6
bucketKNN,8948,16,100,6
bucketKNN,11208,32,100,6
bucketKNN,15370,64,100,6
bucketKNN,28462,2,1000,6
bucketKNN,57121,4,1000,6
bucketKNN,85393,8,1000,6
bucketKNN,113858,16,1000,6
bucketKNN,142516,32,1000,6
bucketKNN,170791,64,1000,6
bucketKNN,31501,2,10000,6
bucketKNN,62925,4,10000,6
bucketKNN,94431,8,10000,6
bucketKNN,125952,16,10000,6
bucketKNN,157142,32,10000,6
bucketKNN,188550,64,10000,6
bucketKNN,62803,2,100000,6
bucketKNN,126498,4,100000,6
bucketKNN,189406,8,100000,6
bucketKNN,253130,16,100000,6
bucketKNN,316565,32,100000,6
bucketKNN,379405,64,100000,6
bucketKNN,2229,2,100,7
bucketKNN,4093,4,100,7
bucketKNN,6270,8,100,7
bucketKNN,8349,16,100,7
bucketKNN,11091,32,100,7
bucketKNN,15930,64,100,7
bucketKNN,22747,2,1000,7
bucketKNN,45182,4,1000,7
bucketKNN,67962,8,1000,7
bucketKNN,90662,16,1000,7
bucketKNN,113690,32,1000,7
bucketKNN,136669,64,1000,7
bucketKNN,28836,2,10000,7
bucketKNN,57382,4,10000,7
bucketKNN,86089,8,10000,7
bucketKNN,114382,16,10000,7
bucketKNN,142711,32,10000,7
bucketKNN,193625,64,10000,7
bucketKNN,245447,2,100000,7
bucketKNN,490726,4,100000,7
bucketKNN,739520,8,100000,7
bucketKNN,985054,16,100000,7
bucketKNN,1233502,32,100000,7
bucketKNN,1483206,64,100000,7
quadTree,659,2,100,2
quadTree,1601,4,100,2
quadTree,2522,8,100,2
quadTree,3617,16,100,2
quadTree,4776,32,100,2
quadTree,5917,64,100,2
quadTree,5846,2,1000,2
quadTree,12699,4,1000,2
quadTree,20147,8,1000,2
quadTree,28687,16,1000,2
quadTree,38426,32,1000,2
quadTree,49900,64,1000,2
quadTree,57148,2,10000,2
quadTree,119186,4,10000,2
quadTree,181603,8,10000,2
quadTree,250122,16,10000,2
quadTree,323605,32,10000,2
quadTree,405187,64,10000,2
quadTree,607505,2,100000,2
quadTree,1219364,4,100000,2
quadTree,1819544,8,100000,2
quadTree,2433343,16,100000,2
quadTree,3071531,32,100000,2
quadTree,3744029,64,100000,2
kdTree,118,2,100,1
kdTree,573,4,100,1
kdTree,1227,8,100,1
kdTree,1933,16,100,1
kdTree,2884,32,100,1
kdTree,4044,64,100,1
kdTree,169,2,1000,1
kdTree,1761,4,1000,1
kdTree,7805,8,1000,1
kdTree,14726,16,1000,1
kdTree,21634,32,1000,1
kdTree,29105,64,1000,1
kdTree,431,2,10000,1
kdTree,5132,4,10000,1
kdTree,56681,8,10000,1
kdTree,122542,16,10000,1
kdTree,191343,32,10000,1
kdTree,266544,64,10000,1
kdTree,488,2,100000,1
kdTree,12796,4,100000,1
kdTree,355943,8,100000,1
kdTree,1079556,16,100000,1
kdTree,1815776,32,100000,1
kdTree,2623652,64,100000,1
kdTree,217,2,100,2
kdTree,598,4,100,2
kdTree,1169,8,100,2
kdTree,2048,16,100,2
kdTree,3313,32,100,2
kdTree,4826,64,100,2
kdTree,690,2,1000,2
kdTree,2337,4,1000,2
kdTree,5206,8,1000,2
kdTree,9640,16,1000,2
kdTree,15308,32,1000,2
kdTree,23292,64,1000,2
kdTree,1819,2,10000,2
kdTree,6428,4,10000,2
kdTree,16095,8,10000,2
kdTree,32381,16,10000,2
kdTree,56053,32,10000,2
kdTree,90313,64,10000,2
kdTree,4308,2,100000,2
kdTree,17237,4,100000,2
kdTree,44544,8,100000,2
kdTree,91349,16,100000,2
kdTree,164160,32,100000,2
kdTree,273809,64,100000,2
kdTree,279,2,100,3
kdTree,747,4,100,3
kdTree,1423,8,100,3
kdTree,2486,16,100,3
kdTree,4152,32,100,3
kdTree,5881,64,100,3
kdTree,898,2,1000,3
kdTree,2662,4,1000,3
kdTree,5339,8,1000,3
kdTree,10056,16,1000,3
kdTree,16361,32,1000,3
kdTree,24953,64,1000,3
kdTree,2183,2,10000,3
kdTree,6128,4,10000,3
kdTree,12996,8,10000,3
kdTree,24022,16,10000,3
kdTree,40816,32,10000,3
kdTree,67119,64,10000,3
kdTree,4591,2,100000,3
kdTree,13631,4,100000,3
kdTree,29952,8,100000,3
kdTree,58092,16,100000,3
kdTree,102699,32,100000,3
kdTree,172764,64,100000,3
kdTree,383,2,100,4
kdTree,960,4,100,4
kdTree,1823,8,100,4
kdTree,3145,16,100,4
kdTree,4923,32,100,4
kdTree,7142,64,100,4
kdTree,1521,2,1000,4
kdTree,3390,4,1000,4
kdTree,6546,8,1000,4
kdTree,10908,16,1000,4
kdTree,17155,32,1000,4
kdTree,27740,64,1000,4
kdTree,3099,2,10000,4
kdTree,9752,4,10000,4
kdTree,17457,8,10000,4
kdTree,29269,16,10000,4
kdTree,48497,32,10000,4
kdTree,77391,64,10000,4
kdTree,7926,2,100000,4
kdTree,20719,4,100000,4
kdTree,39046,8,100000,4
kdTree,67905,16,100000,4
kdTree,112508,32,100000,4
kdTree,182779,64,100000,4
kdTree,535,2,100,5
kdTree,1276,4,100,5
kdTree,2198,8,100,5
kdTree,3862,16,100,5
kdTree,5829,32,100,5
kdTree,8102,64,100,5
kdTree,1603,2,1000,5
kdTree,3993,4,1000,5
kdTree,7427,8,1000,5
kdTree,12465,16,1000,5
kdTree,20082,32,1000,5
kdTree,34100,64,1000,5
kdTree,4252,2,10000,5
kdTree,11344,4,10000,5
kdTree,20252,8,10000,5
kdTree,34015,16,10000,5
kdTree,55181,32,10000,5
kdTree,89038,64,10000,5
kdTree,10520,2,100000,5
kdTree,25435,4,100000,5
kdTree,47182,8,100000,5
kdTree,78725,16,100000,5
kdTree,126095,32,100000,5
kdTree,199583,64,100000,5
kdTree,587,2,100,6
kdTree,1711,4,100,6
kdTree,3034,8,100,6
kdTree,5399,16,100,6
kdTree,7533,32,100,6
kdTree,10196,64,100,6
kdTree,2447,2,1000,6
kdTree,5700,4,1000,6
kdTree,10444,8,1000,6
kdTree,16708,16,1000,6
kdTree,26217,32,1000,6
kdTree,39110,64,1000,6
kdTree,6158,2,10000,6
kdTree,14539,4,10000,6
kdTree,27651,8,10000,6
kdTree,45330,16,10000,6
kdTree,70674,32,10000,6
kdTree,106464,64,10000,6
kdTree,13770,2,100000,6
kdTree,32417,4,100000,6
kdTree,57487,8,100000,6
kdTree,93108,16,100000,6
kdTree,145336,32,100000,6
kdTree,223107,64,100000,6
kdTree,825,2,100,7
kdTree,1844,4,100,7
kdTree,3098,8,100,7
kdTree,4848,16,100,7
kdTree,7216,32,100,7
kdTree,10088,64,100,7
kdTree,3496,2,1000,7
kdTree,7830,4,1000,7
kdTree,13559,8,1000,7
kdTree,21086,16,1000,7
kdTree,31843,32,1000,7
kdTree,47517,64,1000,7
kdTree,8282,2,10000,7
kdTree,19905,4,10000,7
kdTree,34823,8,10000,7
kdTree,55519,16,10000,7
kdTree,84936,32,10000,7
kdTree,127968,64,10000,7
kdTree,21706,2,100000,7
kdTree,48837,4,100000,7
kdTree,85654,8,100000,7
kdTree,135199,16,100000,7
kdTree,209101,32,100000,7
kdTree,308170,64,100000,7